date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:37:13	656058/656058	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Aug%202023%2023:45:19%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/08/Embracing-the-Waves-Together.jpg	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/08/Embracing-the-Waves-Together.jpg	(from https://ptsridewibaruna.co.id/id/)
20:37:13	515971/515971	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Jul%202023%2017:22:42%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/07/The-Impact-of-Indonesian-Cuisine-on-the-Cruise-Line-Industry-scaled.jpg	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/07/The-Impact-of-Indonesian-Cuisine-on-the-Cruise-Line-Industry-scaled.jpg	(from https://ptsridewibaruna.co.id/id/)
20:37:13	9800/9800	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Apr%202024%2008:48:59%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/elementor/css/custom-widget-icon-list.min.css?ver=1712306939	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/elementor/css/custom-widget-icon-list.minc916.css	(from https://ptsridewibaruna.co.id/id/)
20:37:14	132905/132905	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202023%2006:16:14%20GMT	https://ptsridewibaruna.co.id/wp-content/uploads/2023/08/logo-1.png	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/uploads/2023/08/logo-1.png	(from https://ptsridewibaruna.co.id/id/)
20:37:14	5469/5469	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Apr%202023%2004:52:47%20GMT	https://ptsridewibaruna.co.id/wp-content/plugins/bdthemes-element-pack/assets/css/ep-advanced-button.css?ver=6.14.1	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/plugins/bdthemes-element-pack/assets/css/ep-advanced-buttone5af.css	(from https://ptsridewibaruna.co.id/id/)
20:37:22	220444/220444	---MCZ	200	added ('OK')	text/html	etag:%223858-1739104642;gz%22	https://ptsridewibaruna.co.id/id/the-dawn-of-desert-cruising-the-rise-of-cruise-tourism-in-saudi-arabia/	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/id/the-dawn-of-desert-cruising-the-rise-of-cruise-tourism-in-saudi-arabia/index.html	(from https://ptsridewibaruna.co.id/id/)
20:37:24	8754/8754	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Apr%202023%2004:52:48%20GMT	https://ptsridewibaruna.co.id/wp-content/plugins/bdthemes-element-pack/assets/css/ep-font.css?ver=6.14.1	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/wp-content/plugins/bdthemes-element-pack/assets/css/ep-fonte5af.css	(from https://ptsridewibaruna.co.id/id/)
20:37:24	220385/220385	---MCZ	200	added ('OK')	text/html	etag:%223859-1739104644;gz%22	https://ptsridewibaruna.co.id/id/embracing-the-waves-together/	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/id/embracing-the-waves-together/index.html	(from https://ptsridewibaruna.co.id/id/)
20:37:25	215838/215838	---MCZ	200	added ('OK')	text/html	etag:%223860-1739104644;gz%22	https://ptsridewibaruna.co.id/id/the-impact-of-indonesian-cuisine-on-the-cruise-line-industry/	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/id/the-impact-of-indonesian-cuisine-on-the-cruise-line-industry/index.html	(from https://ptsridewibaruna.co.id/id/)
20:37:26	204844/204844	---MCZ	200	added ('OK')	text/html	etag:%223861-1739104646;gz%22	https://ptsridewibaruna.co.id/id/privacy-policy/	C:/Users/ACER/Music/PT%20SRI%20DEWI%20BARUNA/ptsridewibaruna.co.id/id/privacy-policy/index.html	(from https://ptsridewibaruna.co.id/id/)
